kg_rad_per_um,kg_over_kD,domain_length_um,grid_size,dx_um,dx_normalized,m,A1_linearized,A1_nonlinear,R_K,R_K_minus_one,A2_over_A1_nonlinear,A3_over_A1_nonlinear,A4_over_A1_nonlinear,A5_over_A1_nonlinear,delta_phase_rad,relative_L2_error,residual_rms_tolerance,residual_max_tolerance,nonlinear_iterations,nonlinear_residual_rms,nonlinear_residual_max
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.05,0.019168248181373797,0.019180691338217162,1.0006491546189107,0.0006491546189106856,0.0167969978363095,0.0002890585642062306,5.367488836561553e-06,1.0598516776166317e-07,0.0,0.016822920465857864,1e-12,1e-11,3,2.4876084240657103e-15,7.932890455641939e-15
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.1,0.03833649636274758,0.03843643141699185,1.0026067863191948,0.002606786319194754,0.033658818466803575,0.001160667309562807,4.318600398587571e-05,1.7086994746933183e-06,4.440892098500626e-16,0.033867118169932785,1e-12,1e-11,3,4.981661673667119e-15,1.786418235560916e-14
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.2,0.07667299272549516,0.07748525859670766,1.0105938980903038,0.010593898090303755,0.06784642159639635,0.004715335385047842,0.0003535941719595129,2.8195508724402827e-05,-4.440892098500626e-16,0.06954315948152766,1e-12,1e-11,3,1.0891415444065764e-14,3.751512989147443e-14
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.4,0.15334598545099032,0.1602983670896287,1.045337878381305,0.045337878381304986,0.14028674583128117,0.02014937949321487,0.0031219525056203393,0.000514340250465527,4.440892098500626e-16,0.15496927029277321,1e-12,1e-11,3,8.411807160786055e-13,1.5670936770462163e-12
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.6,0.23001897817648553,0.2567735285914319,1.1163145346833883,0.11631453468338826,0.22445215038954514,0.051519018778741876,0.012750867671148651,0.003355224022994475,0.0,0.28254969923295525,1e-12,1e-11,4,2.7437281808250038e-14,1.0168949016176043e-13
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.8,0.30669197090198064,0.38813280468594014,1.2655460250375714,0.2655460250375714,0.33817474342451,0.11661164750887189,0.04331158590597132,0.017098297232023624,4.440892098500626e-16,0.5282298938703336,1e-12,1e-11,4,3.827973025728511e-14,1.650658776330971e-13
2.0,0.4669740116561706,3.141592653589793,512,0.006135923151542565,0.02627950591845954,0.95,0.364196715446102,0.5765221313304294,1.5829965150131886,0.5829965150131886,0.49636354595931936,0.24899825714667992,0.1341129245009092,0.07671194654011698,4.440892098500626e-16,1.0867564754533752,1e-12,1e-11,4,5.2958693662279216e-14,2.321268177674085e-13
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.01,0.004769054125923271,0.0047691842360625385,1.0000272821687135,2.7282168713504973e-05,0.002738337582356064,8.947128480769544e-06,3.295142137045034e-08,1.3006862096458914e-10,8.881784197001252e-16,0.0027385628063099107,1e-12,1e-11,3,1.662939199453491e-15,5.671678404706171e-15
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.02,0.00953810825184654,0.009539149300394501,1.0001091462290501,0.00010914622905011662,0.005477095193065205,3.579395429675697e-05,2.636712506663318e-07,2.081715587174687e-09,0.0,0.0054788972457009266,1e-12,1e-11,3,3.3257945077212486e-15,1.0459515198402158e-14
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.05,0.02384527062961635,0.023861555355418736,1.0006829331507843,0.0006829331507842706,0.013700097474097384,0.00022395059245238776,4.1264244514775325e-06,8.148935890989401e-08,-8.881784197001252e-16,0.01372828316191655,1e-12,1e-11,3,7.037925523158815e-15,2.2315482794965646e-14
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.1,0.047690541259232694,0.04782134648829993,1.0027427918747287,0.0027427918747287006,0.027453021377691098,0.0008992285892446449,3.320022912226641e-05,1.3137621566743172e-06,-4.440892098500626e-16,0.027679332266851958,1e-12,1e-11,3,1.434228397225889e-14,4.6716103208055415e-14
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.2,0.09538108251846539,0.09644483434934362,1.0111526500097363,0.011152650009736309,0.05533694576964429,0.003653072593599336,0.00027182149072968594,2.1677609333406227e-05,4.440892098500626e-16,0.057174846981617136,1e-12,1e-11,3,2.8310551402871924e-14,9.636735853746359e-14
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.4,0.19076216503693078,0.19988882263262198,1.0478431223189584,0.047843122318958375,0.11441652794232988,0.015607398799288305,0.0023994741208809398,0.000395359373716567,-4.440892098500626e-16,0.13014095738961762,1e-12,1e-11,4,5.872927054600954e-14,2.232866669338307e-13
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.6,0.2861432475553962,0.32144266243087893,1.1233627393868482,0.12336273938684816,0.18304044911195938,0.03988915526029349,0.009795404462041028,0.002577828917739202,-1.7763568394002505e-15,0.24420561367468704,1e-12,1e-11,4,9.791970227970022e-14,3.683164884193957e-13
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.8,0.38152433007386155,0.49021069209084356,1.2848740000301966,0.2848740000301966,0.275661635223282,0.09018152461281065,0.03322896048482852,0.013119365793549609,2.220446049250313e-15,0.4713773071826113,1e-12,1e-11,4,1.2697625959934378e-13,5.230260669009112e-13
3.141592653589793,0.73352106221819,2.0,512,0.00390625,0.01673005307574222,0.95,0.4530601419627105,0.7446213482872726,1.643537533585462,0.6435375335854621,0.403667410407777,0.19168597911877178,0.10238839059996481,0.05857218415437801,4.440892098500626e-16,0.9982749455214476,1e-12,1e-11,4,2.032378096008807e-13,8.317149052805561e-13
4.282893587390008,1.0,1.46704212443638,512,0.0028653166492898048,0.01227184630308513,0.01,0.004999905876314573,0.0050000465069828335,1.0000281266631292,2.8126663129235396e-05,0.0025001230558791914,8.125956833246915e-06,2.996937460986346e-08,1.1850557846351976e-10,-8.881784197001252e-16,0.002500364785856579,1e-12,1e-11,3,2.693457842394874e-15,9.765625808011436e-15
4.282893587390008,1.0,1.46704212443638,512,0.0028653166492898048,0.01227184630308513,0.02,0.00999981175262914,0.010000936982067103,1.000112525062051,0.00011252506205106094,0.0050006268467634955,3.250874982870057e-05,2.3980932447905014e-07,1.8966618759165187e-09,-1.3322676295501878e-15,0.005002560928653321,1e-12,1e-11,3,5.500030013395267e-15,2.218364381079141e-14
4.282893587390008,1.0,1.46704212443638,512,0.0028653166492898048,0.01227184630308513,0.05,0.024999529381572856,0.02501713125903341,1.0007040883527003,0.000704088352700305,0.012508238085059164,0.00020339537189900146,3.7529733531023933e-06,7.42450960608193e-08,-8.881784197001252e-16,0.01253848466717907,1e-12,1e-11,3,1.2562438991168182e-14,3.919434221621998e-14
4.282893587390008,1.0,1.46704212443638,512,0.0028653166492898048,0.01227184630308513,0.1,0.04999905876314571,0.05014045373128291,1.0028279525982082,0.0028279525982082276,0.02506435898870573,0.0008166814837971037,3.0195104587467482e-05,1.1969541813926208e-06,-1.7763568394002505e-15,0.025307099018612878,1e-12,1e-11,3,2.6519414774078256e-14,8.341244361886879e-14
