study,fixture,geometry,N,m,resolution_K,magnitude_nonlinear,phase_nonlinear_rad,real_nonlinear,imag_nonlinear,magnitude_linearized,phase_linearized_rad,real_linearized,imag_linearized,R_K,delta_phase_rad,second_harmonic_ratio_nonlinear,third_harmonic_ratio_nonlinear,pump_gain_nonlinear,pump_gain_linearized,signal_gain_nonlinear,signal_gain_linearized,carrier_separation_quality
frozen_intensity_material,broad_beam,45deg,1024,0.03125,resolved,0.006209881359577895,1.5707963267948966,3.8024556650459413e-19,0.006209881359577895,0.006208291941769799,1.5707963267948966,3.801482427330345e-19,0.006208291941769799,1.0002560153135522,0.0,0.010244709291705609,0.00011427429686636933,,,,,
frozen_intensity_material,broad_beam,45deg,1024,0.0625,resolved,0.012429308793733003,1.5707963267948966,7.610756614929586e-19,0.012429308793733003,0.012416583883539598,1.5707963267948966,7.60296485466069e-19,0.012416583883539598,1.0010248318146728,0.0,0.020504859927116825,0.0004577812240951329,,,,,
frozen_intensity_material,broad_beam,45deg,1024,0.125,resolved,0.02493555734633799,1.5707963267948966,1.5268625244574043e-18,0.02493555734633799,0.024833167767079195,1.5707963267948966,1.520592970932138e-18,0.024833167767079195,1.0041230977948181,0.0,0.04113415584398119,0.0018421698813810895,,,,,
frozen_intensity_material,broad_beam,45deg,1024,0.25,resolved,0.050506259407324325,1.5707963267948966,3.0926164460042815e-18,0.050506259407324325,0.04966633553415839,1.5707963267948966,3.041185941864276e-18,0.04966633553415839,1.0169113316723009,0.0,0.08329492180755597,0.007552292801937758,,,,,
frozen_intensity_material,broad_beam,45deg,1024,0.5,resolved,0.10684894402941249,1.5707963267948966,6.542610864894735e-18,0.10684894402941249,0.09933267106831678,1.5707963267948966,6.082371883728552e-18,0.09933267106831678,1.0756676819445068,0.0,0.17599654544979848,0.03368636913121284,,,,,
frozen_intensity_material,broad_beam,x,256,0.03125,marginal,0.0022504161260069044,1.5707963267948966,1.377982452731971e-19,0.0022504161260069044,0.002249858310225018,1.5707963267948966,1.3776408890760704e-19,0.002249858310225018,1.000247933738472,0.0,,,,,,,
frozen_intensity_material,broad_beam,x,256,0.0625,marginal,0.004504185715639494,1.5707963267948966,2.758018309711568e-19,0.004504185715639494,0.004499716620450039,1.5707963267948966,2.7552817781521433e-19,0.004499716620450039,1.0009931948090116,0.0,,,,,,,
frozen_intensity_material,broad_beam,x,256,0.125,marginal,0.009035398158721,1.5707963267948966,5.532585717049781e-19,0.009035398158721,0.008999433240900072,1.5707963267948966,5.510563556304282e-19,0.008999433240900072,1.0039963536434136,0.0,,,,,,,
frozen_intensity_material,broad_beam,x,256,0.25,marginal,0.01829363533047368,1.5707963267948966,1.1201620976116761e-18,0.01829363533047368,0.01799886648180015,1.5707963267948966,1.102112711260857e-18,0.01799886648180015,1.0163770784661128,0.0,,,,,,,
frozen_intensity_material,broad_beam,x,256,0.5,marginal,0.03862203478667821,1.5707963267948966,2.3649175639031598e-18,0.03862203478667821,0.0359977329636003,1.5707963267948966,2.204225422521714e-18,0.0359977329636003,1.0729018637293497,0.0,,,,,,,
